AppNum,Handle,AddrNum,AddrSuf,StDir,StName,StType,UnitNum,MainStrucType,IssueDate,EstProjectCost,AppDescription
524196,13753000380,3920,NA,NA,ENRIGHT,AV,NA,20,9/16/2015 0:00:00,$98400.00,WRECK COMMERCIAL BRICK BUILDING
524347,12745000040,4640,-42R,S,COMPTON,AV,NA,23,8/28/2015 0:00:00,$150.00,WRECK 2 CAR FRAME GARAGE (1 WALL BRICK)
524387,11814000025,2600,-02,NA,CHOUTEAU,AV,NA,20,9/16/2015 0:00:00,$24235.00,MACHINE WRECK MIXED USE BRICK BLDG
524388,11814000025,2604,NA,NA,CHOUTEAU,AV,NA,20,9/16/2015 0:00:00,$24235.00,MACHINE WRECK MIXED USE BLDG
524403,12954000030,6320,NA,NA,ALABAMA,AV,NA,1,9/28/2015 0:00:00,$4150.00,PKG 21FY16-WRECK 1 STORY 1 FAMILY BRICK HOUSE
524404,15114010050,4232,NA,NA,CHOUTEAU,AV,NA,2,9/28/2015 0:00:00,$3050.00,PKG 21-FY16-WRECK 1 STORY 1 FAMILY BRICK HOUSE
524409,14569000150,4443,NA,NA,WEST BELLE,PL,NA,1,10/2/2015 0:00:00,$11500.00,WRECK 2 STORY 2 FAMILY BRICK HOUSE
524412,11135030170,1901,-03 R,NA,DODIER,ST,NA,1,9/14/2015 0:00:00,$5000.00,WRECK 2 STORY 1 FAMILY BRICK HOUSE (1903 R)
524424,13802030070,1374,NA,NA,SEMPLE,AV,NA,1,9/23/2015 0:00:00,$2700.00,PKG 22-FY16 WRECK 2 STORY 1 FAMILY BRICK HOUSE
524426,13797000220,1469,NA,NA,UNION,BLVD,NA,1,9/18/2015 0:00:00,$2700.00,PKG 22-FY16 WRECK 2 STORY 2 FAMILY BRICK HOUSE
524453,13798000265,1443,-47,NA,UNION,BLVD,NA,2,9/21/2015 0:00:00,$4200.00,PKG 23-FY16- WRECK 2 STORY MULTIFAMILY (6) ROWHOUSE
524507,15017000150,4510,R,NA,ARSENAL,ST,NA,1,9/3/2015 0:00:00,$500.00,WRECK 2 CAR FRAME GARAGE
524533,12811000190,5021,REAR,NA,TENNESSEE,AV,NA,23,9/4/2015 0:00:00,$0.00,DEMOLISH 2 CAR FRAME GARAGE
524567,11876000090,2437,-45,N,GRAND,BLVD,NA,20,10/2/2015 0:00:00,$1399.00,WRECK COMMERCIAL BRICK BUILDING (PKG 24-FY16)
524568,13706000450,2614,NA,N,TAYLOR,AV,NA,1,10/26/2015 0:00:00,$3000.00,WRECK 2 STORY 1 FAMILY BRICK HOUSE (PKG 26-FY16)
524569,13707000380,2714,NA,N,TAYLOR,AV,NA,1,10/26/2015 0:00:00,$4000.00,WRECK 2 STORY 1 FAMILY BRICK HOUSE (PKG 26-FY16)
524570,13707000390,2716,NA,N,TAYLOR,AV,NA,1,10/26/2015 0:00:00,$4900.00,WRECK 2 STORY 2 FAMILY BRICK HOUSE (PKG 26-FY16)
524571,13560000240,4582,NA,NA,POPE,AV,NA,1,10/27/2015 0:00:00,$3250.00,WRECK 2 STORY 2 FAMILY BRICK HOUSE (PKG 27-FY16)
524572,13359000410,5116,NA,N,20TH,ST,NA,1,10/27/2015 0:00:00,$3250.00,WRECK 2 STORY 2 FAMILY BRICK HOUSE (PKG 27-FY16)
524573,13570000445,4229,NA,NA,HOLLY,AV,NA,1,10/27/2015 0:00:00,$3250.00,WRECK 2 STORY 2 FAMILY BRICK HOUSE (PKG 27-FY16)
524574,14412040010,4114,NA,N,TAYLOR,AV,NA,1,10/14/2015 0:00:00,$2997.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE (PKG 25-FY16)
524575,14896000300,4125,NA,NA,PENROSE,ST,NA,1,10/14/2015 0:00:00,$4900.00,WRECK 1 STORY 1 FAMILY FRAME HOUSE (PKG 25-FY16)
524576,14429000360,4121,NA,NA,CLAY,AV,NA,1,10/14/2015 0:00:00,$2997.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE (PKG25-FY16)
524598,13982000310,4319,NA,NA,HUNT,AV,NA,1,11/16/2015 0:00:00,$5000.00,WRECK 1 STORY 1 FAMILY FRAME HOUSE
524617,15784000080,5640,NA,NA,HILLER,PL,NA,23,9/10/2015 0:00:00,$500.00,WRECK 1 STY FRAME GARAGE
524628,15140000230,5380,NA,NA,QUEENS,AV,NA,1,9/28/2015 0:00:00,$9800.00,WRECK 1.5 STORY SINGLE FAMILY BRICK HOUSE
524629,12446000060,1419,NA,NA,BISSELL,ST,NA,1,11/23/2015 0:00:00,$4000.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE
524635,13395000350,4213,NA,NA,LINTON,AV,NA,1,10/2/2015 0:00:00,$2000.00,CLEAR RUBBLE
524636,13230000060,8412,NA,NA,PENNSYLVANIA,AV,NA,23,11/16/2015 0:00:00,$8000.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE & 1 CAR FRAME GARAGE
524658,14570000170,4428,REAR,NA,WEST BELLE,PL,NA,23,9/11/2015 0:00:00,$100.00,DEMOLISH 2 CAR FRAME GARAGE
524724,16075000190,5011,NA,NA,PARKER,AV,NA,23,9/16/2015 0:00:00,$1800.00,WRECK 1 CAR FRAME GARAGE
524734,15320000080,4932,NA,NA,GENEVIEVE,AV,NA,1,11/16/2015 0:00:00,$5700.00,WRECK 1 STORY 1 FAMILY FRAME HOUSE (PKG 28-FY16)
524736,15293000420,4919,NA,NA,EMERSON,AV,NA,1,11/13/2015 0:00:00,$6000.00,WRECK 1.5 STORY 1 FAMILY FRAME HOUSE   (PKG 28-FY16)
524737,15483000330,4755,NA,NA,THRUSH,AV,NA,1,11/13/2015 0:00:00,$5800.00,WRECK 1 STORY 1 FAMILY FRAME HOUSE (PKG 28-FY16)
524744,15343000060,6056,NA,NA,SHULTE,AV,NA,1,11/12/2015 0:00:00,$7900.00,WRECK 2 STORY 2 FAMILY FRAME HOUSE (PKG-30 FY16)
524745,15360000020,5962,NA,NA,SHULTE,AV,NA,1,11/12/2015 0:00:00,$7900.00,WRECK 1 STORY 1 FAMILY FRAME HOUSE (PKG 30-FY16)
524746,15360000110,5936,NA,NA,SHULTE,AV,NA,1,11/23/2015 0:00:00,$7900.00,WRECK 2 STORY 1 FAMILY FRAME HOUSE (PKG 30-FY16)
524747,15489000120,6306,NA,NA,SHERRY,AV,NA,1,12/11/2015 0:00:00,$6900.00,WRECK 1 STORY 1 FAMILY FRAME HOUSE  (PKG 30-FY16)
524748,15350000250,5915,NA,NA,SHERRY,AV,NA,1,11/12/2015 0:00:00,$6900.00,WRECK 1 STORY 1 FAMILY FRAME HOUSE (PKG 30-FY16)
524749,15789000180,5596,-98,NA,ERA,AV,NA,1,10/23/2015 0:00:00,$9000.00,WRECK 1 STORY 2 FAMILY FRAME HOUSE (PKG 31-FY16)
524750,15357000210,5931,NA,NA,THEKLA,AV,NA,1,10/23/2015 0:00:00,$5500.00,WRECK 2 STORY 1 FAMILY BRICK HOUSE (PKG 31-FY16)
524751,15323000310,5047,NA,NA,BEACON,AV,NA,1,10/23/2015 0:00:00,$7500.00,WRECK 1 STORY 1 FAMILY FRAME HOUSE (PKG 31-FY16)
524752,12435000010,4206,NA,N,FLORISSANT,AV,NA,1,10/19/2015 0:00:00,$2900.00,WRECK 1 STORY COMMERCIAL BRICK BUILDING (PKG 32-FY16)
524753,12434020160,4207,NA,N,FLORISSANT,AV,NA,2,10/21/2015 0:00:00,$2900.00,WRECK 2 STORY 4 FAMILY BRICK HOUSE (PKG 32-FY16)
524754,12434020060,4220,NA,N,22ND,ST,NA,2,10/21/2015 0:00:00,$2900.00,WRECK 2 STORY 4 FAMILY BRICK HOUSE (PKG 32-FY16)
524755,11946000030,4120,NA,NA,GROVE,ST,NA,1,10/12/2015 0:00:00,$3300.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE  (PKG 33-FY16)
524756,12425000020,4132,-34,NA,GROVE,ST,NA,2,10/7/2015 0:00:00,$3300.00,WRECK 2 STORY 4 FAMILY BRICK HOUSE (PKG 33-FY16)
524757,11184030230,3405,NA,N,14TH,ST,NA,2,10/13/2015 0:00:00,$1700.00,WRECK 2 STORY 2 FAMILY BRICK HOUSE (PKG 33-FY16)
524759,13818080100,1434,NA,NA,TEMPLE,PL,NA,1,12/17/2015 0:00:00,$6050.00,WRECK 2 STORY 1 FAMILY BRICK HOUSE  (PKG 34-FY16)
524760,14999000160,5928,NA,NA,COTE BRILLIANTE,AV,NA,1,11/30/2015 0:00:00,$6050.00,WRECK 2 STORY 1 FAMILY BRICK HOUSE (PKG 34-FY16)
524762,14999000110,5950,NA,NA,COTE BRILLIANTE,AV,NA,1,12/16/2015 0:00:00,$5550.00,WRECK 2 STORY 2 FAMILY BRICK HOUSE (PKG 34-FY16)
524763,14343060130,4350,NA,NA,DARDENNE,DR,NA,1,10/8/2015 0:00:00,$7000.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE (PKG 35-FY16)
524764,14522000320,1961,NA,NA,ARLINGTON,AV,NA,1,10/8/2015 0:00:00,$6000.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE (PKG 35-FY16)
